09961,携程集团-S,4.85,4.55,35,18,2021-04-19,旅游及观光,主板,16817.78,16.78,268,333.00,333.00,有,J.P. Morgan Securities (Far East) Limited、高盛（亚洲）有限责任公司、中国国际金融香港证券有限公司,香港上海汇丰银行有限公司、星展亚洲融资有限公司、建银国际金融有限公司、海通国际证券有限公司、农银国际证券有限公司、中银国际亚洲有限公司、工银国际证券有限公司、野村国际（香港）有限公司、瑞穗证券亚洲有限公司、招银国际融资有限公司、高盛（亚洲）有限责任公司、J.P. Morgan Securities (Asia Pacific) Limited、中国国际金融香港证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0408/2021040800020_c.pdf
06622,兆科眼科-B,-7.62,-14.76,25,10,2021-04-29,药品,主板,8484.65,55,16.8,15.38,16.80,有,高盛（亚洲）有限责任公司、富瑞金融集团香港有限公司,香港上海汇丰银行有限公司、浦银国际融资有限公司、麦格理资本股份有限公司、海通国际证券有限公司、鼎珮证券有限公司、富瑞金融集团香港有限公司、复星恒利证券有限公司、高盛（亚洲）有限责任公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0416/2021041600010_c.pdf
02191,顺丰房托,-9.84,-16.47,60.01,4,2021-05-17,房地产投资信托基金,主板,5212,4,4.98,4.68,5.16,有,星展亚洲融资有限公司,瑞士信贷（香港）有限公司、星展亚洲融资有限公司、J.P. Morgan Securities (Asia Pacific) Limited,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0505/2021050500054_c.pdf
03658,新希望服务,0,0.53,50.01,10,2021-05-25,物业管理及代理,主板,4747.37,3.75,3.8,3.80,4.70,有,农银国际融资有限公司,利弗莫尔证券有限公司、农银国际证券有限公司、海通国际证券有限公司、  招银国际融资有限公司、中信里昂证券有限公司、民银证券有限公司、富强证券有限公司、中国光大证券（香港）有限公司、富途证券国际（香港）有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0511/2021051100022_c.pdf
02618,京东物流,14.1,3.32,8,300,2021-05-28,物流,主板,4379.7,714.61,40.36,39.36,43.36,有,高盛（亚洲）有限责任公司、海通国际资本有限公司、Merrill Lynch (Asia Pacific) Limited,UBS AG Hong Kong Branch、交银国际证券有限公司、招银国际融资有限公司、建银国际金融有限公司、国泰君安证券（香港）有限公司、华兴证券（香港）有限公司、中银国际亚洲有限公司、瑞穗证券亚洲有限公司、海通国际证券有限公司、农银国际证券有限公司、中信里昂证券有限公司、工银国际证券有限公司、高盛（亚洲）有限责任公司、富途证券国际（香港）有限公司、Merrill Lynch (Asia Pacific) Limited,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0517/2021051700092_c.pdf
09982,中原建业,-16.67,-12,30,20,2021-05-31,建筑及装修,主板,6464.49,3.99,3,2.40,3.20,有,工银国际融资有限公司、建银国际金融有限公司,利弗莫尔证券有限公司、法国巴黎证券（亚洲）有限公司、建银国际金融有限公司、工银国际证券有限公司、农银国际证券有限公司、中国银河国际证券（香港）有限公司、招银国际融资有限公司、克而瑞证券有限公司、一盈证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0518/2021051800034_c.pdf
06699,时代天使,131.21,131.79,1.5,750,2021-06-16,医疗器械及服务,主板,34948.66,2078.16,173,147.00,173.00,有,高盛（亚洲）有限责任公司、中国国际金融香港证券有限公司,高盛（亚洲）有限责任公司、中国国际金融香港证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0603/2021060300012_c.pdf
02171,科济药业－B,-17.53,-8.54,5,70,2021-06-18,生物科技,主板,16565.26,433.57,32.8,29.60,32.80,有,高盛（亚洲）有限责任公司、UBS Securities Hong Kong Limited,高盛（亚洲）有限责任公司、UBS AG Hong Kong Branch、中信里昂证券有限公司、瑞士信贷（香港）有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0607/2021060700010_c.pdf
09858,优然牧业,-10.03,-11.89,80,3,2021-06-18,乳制品,主板,8747.26,2.73,6.98,6.98,8.66,有,华泰金融控股（香港）有限公司、瑞士信贷（香港）有限公司,华泰金融控股（香港）有限公司、瑞士信贷（香港）有限公司、花旗环球金融亚洲有限公司、中信里昂证券有限公司、香港上海汇丰银行有限公司、交银国际证券有限公司、中信建投（国际）融资有限公司、工银国际证券有限公司、富途证券国际（香港）有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0607/2021060700020_c.pdf
02155,森松国际,100,258.87,80,25,2021-06-28,机械装备及器材,主板,2504.99,22.71,2.48,2.20,2.48,有,国金证券（香港）有限公司,利弗莫尔证券有限公司、国金证券（香港）有限公司、海通国际证券有限公司、创升证券有限公司、佳富达证券有限公司、盈立证券有限公司、富途证券国际（香港）有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0615/2021061500024_c.pdf
